title,host_is_superhost,neighbourhood,city,state,zipcode,latitude,longitude,property_type,price,has_availability,number_of_reviews
Stylish Queen Anne Apartment,f,Queen Anne,Seattle,WA,98119,47.636289038357200,-122.37102519997800,Apartment,85.00,t,207
Bright & Airy Queen Anne Apartment,t,Queen Anne,Seattle,WA,98119,47.63912312136250,-122.36566646439600,Apartment,150.00,t,43
New Modern House-Amazing water view,f,Queen Anne,Seattle,WA,98119,47.629724131577400,-122.3694831756180,House,975.00,t,20
Queen Anne Chateau,f,Queen Anne,Seattle,WA,98119,47.638473201766400,-122.36927912263000,Apartment,100.00,t,0
Charming craftsman 3 bdm house,f,Queen Anne,Seattle,WA,98119,47.63291840276720,-122.37247063402200,House,450.00,t,38
Private unit in a 1920s mansion,f,Queen Anne,Seattle,WA,98119,47.63052548240190,-122.36617406518900,House,120.00,t,17
Queen Anne Private Bed and Bath,t,Queen Anne,Seattle,WA,98119,47.63660544532010,-122.36851905844900,House,80.00,t,58
Tiny Garden cabin on Queen Anne  ,t,Queen Anne,Seattle,WA,98119,47.64016054121470,-122.37585597885800,Cabin,60.00,t,173
Urban Charm || Downtown || Views,f,Queen Anne,Seattle,WA,98109,47.63241029982900,-122.35721606914000,Apartment,90.00,t,8
Airy + Bright Queen Anne Apartment,t,Queen Anne,Seattle,WA,98119,47.63749172022630,-122.36688859092100,Apartment,150.00,t,32
Private Apartment - Queen Anne Hill,t,Queen Anne,Seattle,WA,98119,47.63548170841020,-122.35847776162200,House,95.00,t,181
Upper Queen Anne Craftsman House,f,Queen Anne,Seattle,WA,98119,47.63721407513560,-122.3600457614150,House,99.00,t,8
Open Plan 2bdr/1bath in Queen Anne,t,,Seattle,WA,98119,47.63554551151240,-122.37317075183500,Apartment,245.00,t,13
Elegance in Historic Queen Anne,f,Queen Anne,Seattle,WA,98119,47.62950680923430,-122.3676292967420,House,165.00,t,3
Stunning 6 bd in THE BEST Location!,f,Queen Anne,Seattle,WA,98119,47.63920265551510,-122.36586274154300,House,461.00,t,18
"Lovely Queen Anne Cottage, 2 BR",f,,Seattle,WA,98119,47.63564979343860,-122.37289282480900,House,109.00,t,1
Park Life in Lower Queen Anne,f,Queen Anne,Seattle,WA,98119,47.62620037381710,-122.36660192617600,Apartment,66.00,t,84
"Private Garden Suite, Bay View",t,Queen Anne,Seattle,WA,98119,47.64064587578450,-122.37240588895600,House,99.00,t,45
Queen Anne Getaway Near Seattle!,f,Queen Anne,Seattle,WA,98119,47.63977587341080,-122.37223535880000,Apartment,200.00,t,0
Grand Craftsman Home on Queen Anne,f,Queen Anne,Seattle,WA,98119,47.63602477658140,-122.35869359564700,House,700.00,t,5
Queen Anne View One Bedroom,f,,Seattle,WA,98119,47.62794033813240,-122.36495872243900,Condominium,110.00,t,1
Cozy Queen Anne Finished Basement,f,Queen Anne,Seattle,WA,98119,47.636374262238800,-122.36103343324100,House,99.00,t,11
Lovely Queen Anne home,f,Queen Anne,Seattle,WA,98119,47.63563222417990,-122.35888090262100,House,450.00,t,1
"Cozy Lower Level, Upper Queen Anne",f,Queen Anne,Seattle,WA,98119,47.63339395777790,-122.37191994372300,House,75.00,t,0
Charming home on Queen Anne,f,Queen Anne,Seattle,WA,98119,47.63851671212970,-122.36958103291500,House,600.00,t,1
VIEW-Monthly Rental Available,f,Queen Anne,Seattle,WA,98119,47.63139734518300,-122.36776687067900,House,450.00,t,8
Cute Bungalow-Close to Everything!,f,Queen Anne,Seattle,WA,98119,47.63875224201260,-122.36797266885500,House,150.00,t,0
Micro Gypsy Wagon on Queen Anne,t,Queen Anne,Seattle,WA,98119,47.63926602026100,-122.37472581108100,Camper/RV,45.00,t,80
STUNNING VIEW of Puget Sound,f,Queen Anne,Seattle,WA,98119,47.62990711611140,-122.36894813824900,Apartment,300.00,t,6
Open Airy Queen Anne Condo,f,Queen Anne,Seattle,WA,98119,47.63981586823570,-122.37433846349200,Apartment,80.00,t,4
Airy + Bright Queen Anne Cottage,t,Queen Anne,Seattle,WA,98119,47.63900777818940,-122.36532007300200,Apartment,175.00,t,38
Queen Anne 3 bed near everything,f,Queen Anne,Seattle,WA,98119,47.63508504491010,-122.36444347330400,House,325.00,t,68
1914 Stunner View Ocean Mountain,f,Queen Anne,Seattle,WA,98119,47.640633234573500,-122.37270939338400,House,175.00,t,8
Seattle Queen Anne Beauty,f,Queen Anne,Seattle,WA,98119,47.638121486971100,-122.37578997278500,House,222.00,t,5
The Hideaway- Queen Anne/downtown,f,Queen Anne,Seattle,WA,98119,47.62981553345290,-122.36621233486000,Apartment,159.00,t,62
QUEEN ANNE VIEW ONE! - SEATTLE,f,Queen Anne,Seattle,WA,98119,47.639810187873800,-122.37380062876900,Apartment,125.00,t,19
"URBAN SANCTUARY, 3BR, QUEEN ANNE",f,Queen Anne,Seattle,WA,98119,47.63556952470360,-122.36165259464200,House,348.00,t,5
Cozy Homebase Close to Downtown,f,Queen Anne,Seattle,WA,98119,47.63497873047920,-122.35886941246500,House,45.00,t,7
VIEW QUEEN ANNE! - VINTAGE SEATTLE,f,Queen Anne,Seattle,WA,98119,47.63936210298090,-122.37240255654500,Apartment,150.00,t,2
Cute little Seattle Studio!,t,Queen Anne,Seattle,WA,98109,47.6346162843086,-122.3580227325540,Apartment,80.00,t,11
Walker's Dream on Queen Anne Hill,f,Queen Anne,Seattle,WA,98119,47.63800137747850,-122.36100481691400,Apartment,110.00,t,71
"DARLING VINTAGE COTTAGE, QUEEN ANNE",f,Queen Anne,Seattle,WA,98119,47.63199585097700,-122.3716576650490,House,148.00,t,9
Modern Eco-Friendly View Retreat,f,Queen Anne,Seattle,WA,98119,47.63868624334980,-122.37079986877500,House,350.00,t,41
Beautiful 1 Bedrm in Queen Anne,t,Queen Anne,Seattle,WA,98119,47.633650043720500,-122.36044969320200,Apartment,150.00,t,18
One bedroom with Lounge,f,Queen Anne,Seattle,WA,98109,47.63430017546050,-122.35705980444600,House,150.00,t,9
